2020-05-24 17:08:43,381 p=18427 u=root n=ansible | ERROR! The vault password file /root/automate/docker/praveen.pem was not found
2020-05-24 19:15:34,528 p=28078 u=root n=ansible | ok: [node02]
2020-05-24 19:15:34,562 p=28078 u=root n=ansible | TASK [Sameer] ***************************************************************************************************************************************
2020-05-24 19:15:34,758 p=28078 u=root n=ansible | ok: [node01] => {
    "msg": {
        "changed": false,
        "failed": false,
        "msg": "Need reboot"
    }
}
2020-05-24 19:15:34,809 p=28078 u=root n=ansible | ok: [node02] => {
    "msg": {
        "changed": false,
        "failed": false,
        "msg": "Need reboot"
    }
}
2020-05-24 19:15:34,853 p=28078 u=root n=ansible | ok: [node03] => {
    "msg": {
        "changed": false,
        "failed": false,
        "msg": "Need reboot"
    }
}
2020-05-24 19:15:34,857 p=28078 u=root n=ansible | PLAY RECAP ******************************************************************************************************************************************
2020-05-24 19:15:34,857 p=28078 u=root n=ansible | node01                     : ok=4    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2020-05-24 19:15:34,857 p=28078 u=root n=ansible | node02                     : ok=4    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2020-05-24 19:15:34,858 p=28078 u=root n=ansible | node03                     : ok=4    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2020-05-24 19:16:15,148 p=28321 u=root n=ansible | PLAY [dev] ******************************************************************************************************************************************
2020-05-24 19:16:15,170 p=28321 u=root n=ansible | TASK [Gathering Facts] ******************************************************************************************************************************
2020-05-24 19:16:18,017 p=28321 u=root n=ansible | ok: [node02]
2020-05-24 19:16:18,110 p=28321 u=root n=ansible | ok: [node03]
2020-05-24 19:16:18,127 p=28321 u=root n=ansible | ok: [node01]
2020-05-24 19:16:18,161 p=28321 u=root n=ansible | TASK [loading file] *********************************************************************************************************************************
2020-05-24 19:16:19,478 p=28321 u=root n=ansible | changed: [node01]
2020-05-24 19:16:19,651 p=28321 u=root n=ansible | changed: [node02]
2020-05-24 19:16:19,656 p=28321 u=root n=ansible | changed: [node03]
2020-05-24 19:16:19,689 p=28321 u=root n=ansible | TASK [Adding files] *********************************************************************************************************************************
2020-05-24 19:16:21,149 p=28321 u=root n=ansible | ok: [node01]
2020-05-24 19:16:21,212 p=28321 u=root n=ansible | ok: [node03]
2020-05-24 19:16:21,240 p=28321 u=root n=ansible | ok: [node02]
2020-05-24 19:16:21,280 p=28321 u=root n=ansible | TASK [Sameer] ***************************************************************************************************************************************
2020-05-24 19:16:21,478 p=28321 u=root n=ansible | ok: [node01] => {
    "msg": {
        "changed": false,
        "failed": false,
        "msg": "Need reboot"
    }
}
2020-05-24 19:16:21,565 p=28321 u=root n=ansible | ok: [node02] => {
    "msg": {
        "changed": false,
        "failed": false,
        "msg": "Need reboot"
    }
}
2020-05-24 19:16:21,583 p=28321 u=root n=ansible | ok: [node03] => {
    "msg": {
        "changed": false,
        "failed": false,
        "msg": "Need reboot"
    }
}
2020-05-24 19:16:21,587 p=28321 u=root n=ansible | PLAY RECAP ******************************************************************************************************************************************
2020-05-24 19:16:21,587 p=28321 u=root n=ansible | node01                     : ok=4    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2020-05-24 19:16:21,587 p=28321 u=root n=ansible | node02                     : ok=4    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
2020-05-24 19:16:21,588 p=28321 u=root n=ansible | node03                     : ok=4    changed=1    unreachable=0    failed=0    skipped=0    rescued=0    ignored=0   
